Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1965,1,7.029,7.010,7.021,6.998,
1965,2,7.147,7.010,7.022,6.998,
1965,3,7.150,7.010,7.022,6.998,
1965,4,7.100,7.010,7.022,6.999,
1965,6,7.076,7.010,7.022,6.999,
1965,7,7.067,7.010,7.022,6.999,
1965,8,7.050,7.011,7.022,6.999,
1965,9,7.078,7.011,7.022,6.999,
1965,10,7.039,7.011,7.022,6.999,
1965,11,7.086,7.011,7.022,6.999,
1965,12,7.067,7.011,7.022,7.000,
1966,1,7.115,7.011,7.022,7.000,
1966,2,7.000,7.011,7.023,7.000,
1966,3,7.065,7.011,7.023,7.000,
1966,4,7.017,7.011,7.023,7.000,
1966,5,7.004,7.012,7.023,7.000,
1966,6,6.975,7.012,7.023,7.000,
1966,7,6.995,7.012,7.023,7.001,
1966,8,7.024,7.012,7.023,7.001,
1966,9,7.081,7.012,7.023,7.001,
1966,10,7.077,7.012,7.023,7.001,
1966,11,7.117,7.012,7.023,7.001,
1966,12,7.097,7.012,7.023,7.001,
1967,1,7.172,7.012,7.023,7.001,
1967,6,7.045,7.013,7.024,7.002,
1967,7,7.053,7.013,7.024,7.002,
1967,8,7.094,7.013,7.024,7.002,
1967,9,6.947,7.013,7.024,7.002,
1967,10,7.073,7.013,7.024,7.003,
1967,12,7.014,7.014,7.024,7.003,
1968,1,7.138,7.014,7.025,7.003,
1968,2,7.063,7.014,7.025,7.003,
1968,3,7.049,7.014,7.025,7.003,
1968,4,6.959,7.014,7.025,7.003,
1968,5,6.919,7.014,7.025,7.003,
1968,6,6.973,7.014,7.025,7.004,
1968,7,7.060,7.014,7.025,7.004,
1968,8,7.030,7.014,7.025,7.004,
1968,9,6.993,7.015,7.025,7.004,
1968,10,7.048,7.015,7.025,7.004,
1968,11,6.983,7.015,7.025,7.004,
1969,1,7.028,7.015,7.026,7.005,
1969,2,6.952,7.015,7.026,7.005,
1969,3,6.996,7.015,7.026,7.005,
1969,4,6.970,7.015,7.026,7.005,
1969,5,7.039,7.015,7.026,7.005,
1969,6,7.040,7.016,7.026,7.005,
1969,7,7.019,7.016,7.026,7.005,
1969,8,7.015,7.016,7.026,7.005,
1969,9,7.046,7.016,7.026,7.006,
1969,10,7.006,7.016,7.026,7.006,
1969,11,7.023,7.016,7.026,7.006,
1970,1,6.944,7.016,7.027,7.006,
1970,2,7.074,7.016,7.027,7.006,
1970,3,7.094,7.017,7.027,7.006,
1970,4,6.994,7.017,7.027,7.007,
1970,5,6.986,7.017,7.027,7.007,
1970,6,7.004,7.017,7.027,7.007,
1970,7,6.997,7.017,7.027,7.007,
1970,8,6.974,7.017,7.027,7.007,
1970,9,7.016,7.017,7.027,7.007,
1970,10,7.017,7.017,7.027,7.007,
1970,11,7.025,7.017,7.027,7.007,
1970,12,7.048,7.018,7.027,7.008,
1971,1,6.961,7.018,7.028,7.008,
1971,2,7.009,7.018,7.028,7.008,
1971,3,7.086,7.018,7.028,7.008,
1971,4,6.997,7.018,7.028,7.008,
1971,5,6.998,7.018,7.028,7.008,
1971,6,7.025,7.018,7.028,7.008,
1971,7,7.058,7.018,7.028,7.009,
1971,9,6.990,7.019,7.028,7.009,
1971,10,7.025,7.019,7.028,7.009,
1972,1,6.841,7.019,7.029,7.009,
1972,6,7.012,7.020,7.029,7.010,
1972,7,7.039,7.020,7.029,7.010,
1972,8,7.069,7.020,7.029,7.010,
1972,9,7.006,7.020,7.029,7.010,
1972,10,7.066,7.020,7.029,7.011,
1972,11,7.032,7.020,7.029,7.011,
1972,12,7.035,7.020,7.030,7.011,
1973,1,6.888,7.020,7.030,7.011,
1973,2,7.015,7.020,7.030,7.011,
1973,3,7.067,7.021,7.030,7.011,
1973,4,7.015,7.021,7.030,7.011,
1973,5,7.010,7.021,7.030,7.011,
